title,score,comments,page
Filing the corners off my MacBooks,808,400,1
Optimal Strategy for Connect 4,27,6,1
Starfling: A one-tap endless orbital slingshot game in a single HTML file,168,51,1
1D Chess,813,142,1
Artemis II safely splashes down,890,278,1
Installing every* Firefox extension,387,49,1
"Chimpanzees in Uganda locked in eight-year 'civil war', say researchers",331,191,1
Volunteers turn a fan's recordings of 10K concerts into an online treasure trove,58,3,1
AI assistance when contributing to the Linux kernel,322,217,1
WireGuard makes new Windows release following Microsoft signing resolution,477,140,1
Industrial design files for Keychron keyboards and mice,372,114,1
20 years on AWS and never not my job,143,22,1
Sybilproof reputation mechanisms (2005) [pdf],4,0,1
Bevy game development tutorials and in-depth resources,80,15,1
CPU-Z and HWMonitor compromised,332,92,1
JSON formatter Chrome plugin now closed and injecting adware,220,110,1
The Seasons Are Wrong,28,36,1
Helium is hard to replace,316,216,1
A practical guide for setting up Zettelkasten method in Obsidian,52,26,1
Moooooonitoring the Cow.txt Herd,15,5,1
Quien – A better WHOIS lookup tool,44,11,1
Productive Procrastination,22,9,1
The Bra-and-Girdle Maker That Fashioned the Impossible for NASA,88,4,1
Italo Calvino: A traveller in a world of uncertainty,73,14,1
Watgo – A WebAssembly Toolkit for Go,95,7,1
What is RISC-V and why it matters to Canonical,129,89,1
"Launch HN: Twill.ai (YC S25) – Delegate to cloud agents, get back PRs",67,66,1
Investigating Split Locks on x86-64,56,19,1
A compelling title that is cryptic enough to get you to take action on it,232,125,1
"Intel 486 CPU announced April 10, 1989",167,155,1
"OpenClaw’s memory is unreliable, and you don’t know when it will break",109,129,2
"France's government is ditching Windows for Linux, says US tech a strategic risk",11,1,2
Nowhere is safe,181,229,2
Show HN: Pardonned.com – A searchable database of US Pardons,6,0,2
Flashback to a time when government reports were works of art,22,8,2
Bild AI (YC W25) Is Hiring a Founding Product Engineer,0,0,2
Clojure on Fennel Part One: Persistent Data Structures,147,16,2
PGLite Evangelism,60,14,2
Show HN: FluidCAD – Parametric CAD with JavaScript,127,32,2
You can't trust macOS Privacy and Security settings,462,158,2
France to ditch Windows for Linux to reduce reliance on US tech,504,636,2
Sam Altman's response to Molotov cocktail incident,302,629,2
Code is run more than read (2023),127,92,2
Vinyl Cache and Varnish Cache,42,11,2
Penguin 'Toxicologists' Find PFAS Chemicals in Remote Patagonia,149,73,2
Show HN: Eve – Managed OpenClaw for work,57,33,2
Show HN: A WYSIWYG word processor in Python,71,33,2
Team from ETH Zurich make high quality quantum swap gate using a geometric phase,226,49,2
We've raised $17M to build what comes after Git,315,689,2
Static code analysis in Kotlin – tools overview,5,0,2
The difficulty of making sure your website is broken,64,31,2
We gave an AI a 3-year Lease. It opened a store,12,0,2
Mysteries of Dropbox: Testing of a Distributed Sync Service (2016) [pdf],105,24,2
FBI used iPhone notification data to retrieve deleted Signal messages,587,289,2
40x Faster Binary Search,9,2,2
"Tesla's supervised self-driving software gets Dutch okay, first in Europe",19,14,2
We Only Learn from Error,4,1,2
Molotov cocktail is hurled at home of Sam Altman,229,543,2
Bringing Rust to the Pixel Baseband,10,1,2
Scoop: Microsoft Is Pausing Carbon Removal Purchases,5,3,2
Simulating a 2D Quadcopter from Scratch,25,9,3
The best seat in town,40,13,3
News is bad for you (2013),5,2,3
A security scanner as fast as a linter – written in Rust,52,19,3
How NASA built Artemis II’s fault-tolerant computer,611,222,3
"Raising Carthaginian Armies, Part I: Finding Carthaginians",8,0,3
Bluesky April 2026 Outage Post-Mortem,135,70,3
RSoC 2026: A new CPU scheduler for Redox OS,46,6,3
Premium: The Hater's Guide to OpenAI,6,0,3
Show HN: Marimo pair – Reactive Python notebooks as environments for agents,129,34,3
I still prefer MCP over skills,433,355,3
"Instant 1.0, a backend for AI-coded apps",208,111,3
Why do we tell ourselves scary stories about AI?,44,101,3
LittleSnitch for Linux,1352,452,3
I ported Mac OS X to the Nintendo Wii,1901,323,3
Native Instant Space Switching on macOS,625,310,3
Kagi Product Tips – Customize Your Search Results with URL Redirects,173,34,3
HBO Obtains DMCA Subpoena to Unmask 'Euphoria' Spoiler Account on X,105,67,3
C++: Freestanding Standard Library,44,9,3
Git commands I run before reading any code,2278,494,3
Combining spicy foods with mint boosts anti-inflammatory effects 100x or more,78,45,3
The Art of Risk Management (2017),51,14,3
Model-Based Testing for Dungeons & Dragons,102,69,3
Show HN: Keeper – embedded secret store for Go (help me break it),59,32,3
Gen Z workers who fear AI will take their job actively sabotaging its rollout,6,1,3
Great at gaming? US air traffic control wants you to apply,32,40,3
RAG 40x faster using binary quantization (2024),5,0,3
"Hegel, a universal property-based testing protocol and family of PBT libraries",132,40,3
Sam Altman may control our future – can he be trusted?,2172,904,3
A WebGPU implementation of Augmented Vertex Block Descent,149,23,3
DOJ Top Antitrust Litigators Exit After Ticketmaster Accord,100,21,4
Two Japanese suppliers commit to keeping Blu-ray discs and drives in supply,19,0,4
Travel writing's biggest myth (and why everyone is lying),21,1,4
An AI robot in my home,66,28,4
DRAM has a design flaw from 1966. I bypassed it [video],389,144,4
DOJ wants to scrap Watergate-era rule that makes presidential records public,233,53,4
Reverse engineering Gemini's SynthID detection,169,54,4
Supply chain nightmare: How Rust will be attacked and what we can do to mitigate,117,60,4
Enforcing new limits and retiring Opus 4.6 Fast from Copilot Pro+,13,1,4
Show HN: I built a Cargo-like build tool for C/C++,167,161,4
A Crazy Expensive U.S. Drone Just Disappeared over Strait of Hormuz,27,14,4
Google's Gmail Upgrade Decision: 2B Users Must Act Now,15,8,4
Charcuterie – Visual similarity Unicode explorer,312,83,4
Generative art over the years,228,67,4
"Iran Unable to Find Mines in Strait of Hormuz, U.S. Says",27,6,4
Deterministic Primality Testing for Limited Bit Width,33,4,4
You're Looking at the Wrong Pretext Demo,14,0,4
"Launch HN: Relvy (YC F24) – On-call runbooks, automated",48,24,4
Old laptops in a colo as low cost servers,391,233,4
Moving from WordPress to Jekyll (and static site generators in general),97,53,4
Will I ever own a zettaflop?,125,95,4
"Show HN: CSS Studio. Design by hand, code by agent",162,105,4
Warez Scene,19,6,4
Artemis II and the invisible hazard on the way to the Moon,84,67,4
Maki – the efficient coder (AI agent),6,3,4
Creating the Futurescape for the Fifth Element (2019),129,106,4
Unfolder for Mac – A 3D model unfolding tool for creating papercraft,297,57,4
"The Raft consensus algorithm explained through ""Mean Girls"" (2019)",129,29,4
Social media has become a freak show,24,4,4
The Relationship Between Two People Is Not Located in Either Person,3,1,4
The Mouse Programming Language on CP/M,7,2,5
Top laptops to use with FreeBSD,330,192,5
Lichess and Take Take Take Sign Cooperation Agreement,193,58,5
I Hate Tailwind and Love Bootstrap,31,16,5
Meta removes ads for social media addiction litigation,624,248,5
Reallocating $100/Month Claude Code Spend to Zed and OpenRouter,341,231,5
"""Negative"" views of Broadcom driving VMware migrations, rival says",74,35,5
EFF is leaving X,1404,1276,5
'Blips' led Australian backyard astronomers to a world-first planetary discovery,8,0,5
Show HN: Druids – Build your own software factory,61,13,5
Understanding Traceroute,176,25,5
Who is Satoshi Nakamoto? My quest to unmask Bitcoin's creator,620,812,5
Why I'm Building a Database Engine in C#,62,37,5
Principles of Mechanical Sympathy,81,19,5
Microsoft starts removing Copilot buttons from Windows 11 apps,40,6,5
Ask HN: Hiring in the age of AI-assisted coding: what works?,20,12,5
"Show HN: Unlegacy – document everything, from COBOL to AI generated code",8,0,5
"Inflation Rose to 3.3% in March, Driven by Rising Fuel Costs",62,1,5
Robots eat cars,67,100,5
Claude mixes up who said what,455,345,5
They're made out of meat (1991),630,178,5
"Artemis II returns to Earth, splashdown in four hours",34,6,5
C# in Unity 2026: Writing more modern code,77,100,5
"LLM plays an 8-bit Commander X16 game using structured ""smart senses""",28,4,5
Project Glasswing: Securing critical software for the AI era,1529,832,5
Research-Driven Agents: When an agent reads before it codes,208,54,5
Microsoft terminated the account VeraCrypt used to sign Windows drivers,1276,493,5
Molotov cocktail attack at OpenAI CEO Sam Altman's home,18,1,5
"Show HN: Moon simulator game, ray-casting",111,25,5
Show HN: Do All the Things,18,6,5
